Code,Area,Year,,Year_adj,Sex,Pupils,Attainment8,Progress8
E09000002,Barking and Dagenham,2015/16,2015,2015,All,2201,49.7,0.15
E09000002,Barking and Dagenham,2015/16,2015,2015,Boys,1110,47.6,-0.02
E09000002,Barking and Dagenham,2015/16,2015,2015,Girls,1091,51.8,0.32
E09000003,Barnet,2015/16,2015,2015,All,3647,56.1,0.33
E09000003,Barnet,2015/16,2015,2015,Boys,1856,54.6,0.22
E09000003,Barnet,2015/16,2015,2015,Girls,1791,57.5,0.44
E09000004,Bexley,2015/16,2015,2015,All,3192,52.2,-0.04
E09000004,Bexley,2015/16,2015,2015,Boys,1641,50,-0.16
E09000004,Bexley,2015/16,2015,2015,Girls,1551,54.6,0.08
E09000005,Brent,2015/16,2015,2015,All,3035,51.5,0.31
E09000005,Brent,2015/16,2015,2015,Boys,1515,49.2,0.15
E09000005,Brent,2015/16,2015,2015,Girls,1520,53.7,0.46
E09000006,Bromley,2015/16,2015,2015,All,3305,53.7,0.1
E09000006,Bromley,2015/16,2015,2015,Boys,1587,52.4,0.04
E09000006,Bromley,2015/16,2015,2015,Girls,1718,54.9,0.15
E09000007,Camden,2015/16,2015,2015,All,1422,50.6,0
E09000007,Camden,2015/16,2015,2015,Boys,605,45.8,-0.3
E09000007,Camden,2015/16,2015,2015,Girls,817,54.1,0.23
E09000001,City of London,2015/16,2015,2015,All,.,.,.
E09000001,City of London,2015/16,2015,2015,Boys,.,.,.
E09000001,City of London,2015/16,2015,2015,Girls,.,.,.
E09000008,Croydon,2015/16,2015,2015,All,3844,48.5,0.08
E09000008,Croydon,2015/16,2015,2015,Boys,1885,45.1,-0.07
E09000008,Croydon,2015/16,2015,2015,Girls,1959,51.9,0.22
E09000009,Ealing,2015/16,2015,2015,All,2781,50.9,0.28
E09000009,Ealing,2015/16,2015,2015,Boys,1427,48.5,0.13
E09000009,Ealing,2015/16,2015,2015,Girls,1354,53.5,0.44
E09000010,Enfield,2015/16,2015,2015,All,3579,50.4,0.05
E09000010,Enfield,2015/16,2015,2015,Boys,1808,48.2,-0.12
E09000010,Enfield,2015/16,2015,2015,Girls,1771,52.7,0.23
E09000011,Greenwich,2015/16,2015,2015,All,2204,49.6,-0.01
E09000011,Greenwich,2015/16,2015,2015,Boys,1093,47.7,-0.1
E09000011,Greenwich,2015/16,2015,2015,Girls,1111,51.5,0.08
E09000012,Hackney,2015/16,2015,2015,All,2038,52.5,0.35
E09000012,Hackney,2015/16,2015,2015,Boys,916,49.5,0.23
E09000012,Hackney,2015/16,2015,2015,Girls,1122,54.9,0.45
E09000013,Hammersmith and Fulham,2015/16,2015,2015,All,1350,54.1,0.12
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Boys,649,51.3,-0.02
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Girls,701,56.7,0.26
E09000014,Haringey,2015/16,2015,2015,All,2231,50.1,0.28
E09000014,Haringey,2015/16,2015,2015,Boys,1112,47.5,0.18
E09000014,Haringey,2015/16,2015,2015,Girls,1119,52.6,0.37
E09000015,Harrow,2015/16,2015,2015,All,2127,53.1,0.32
E09000015,Harrow,2015/16,2015,2015,Boys,1063,50.7,0.11
E09000015,Harrow,2015/16,2015,2015,Girls,1064,55.6,0.52
E09000016,Havering,2015/16,2015,2015,All,2917,50,-0.14
E09000016,Havering,2015/16,2015,2015,Boys,1481,48.3,-0.28
E09000016,Havering,2015/16,2015,2015,Girls,1436,51.8,0
E09000017,Hillingdon,2015/16,2015,2015,All,3136,51.2,0.06
E09000017,Hillingdon,2015/16,2015,2015,Boys,1637,49.4,-0.05
E09000017,Hillingdon,2015/16,2015,2015,Girls,1499,53.2,0.19
E09000018,Hounslow,2015/16,2015,2015,All,2667,51.1,0.29
E09000018,Hounslow,2015/16,2015,2015,Boys,1354,48.8,0.15
E09000018,Hounslow,2015/16,2015,2015,Girls,1313,53.6,0.43
E09000019,Islington,2015/16,2015,2015,All,1397,50.6,0.19
E09000019,Islington,2015/16,2015,2015,Boys,761,49.7,0.12
E09000019,Islington,2015/16,2015,2015,Girls,636,51.7,0.28
E09000020,Kensington and Chelsea,2015/16,2015,2015,All,740,56.6,0.34
E09000020,Kensington and Chelsea,2015/16,2015,2015,Boys,430,56.1,0.29
E09000020,Kensington and Chelsea,2015/16,2015,2015,Girls,310,57.1,0.41
E09000021,Kingston upon Thames,2015/16,2015,2015,All,1515,58.2,0.34
E09000021,Kingston upon Thames,2015/16,2015,2015,Boys,703,56.5,0.26
E09000021,Kingston upon Thames,2015/16,2015,2015,Girls,812,59.7,0.41
E09000022,Lambeth,2015/16,2015,2015,All,1887,49.7,0.06
E09000022,Lambeth,2015/16,2015,2015,Boys,970,47.2,-0.09
E09000022,Lambeth,2015/16,2015,2015,Girls,917,52.3,0.22
E09000023,Lewisham,2015/16,2015,2015,All,2334,47.5,-0.14
E09000023,Lewisham,2015/16,2015,2015,Boys,1236,44.2,-0.35
E09000023,Lewisham,2015/16,2015,2015,Girls,1098,51.2,0.1
E09000024,Merton,2015/16,2015,2015,All,1440,52.4,0.27
E09000024,Merton,2015/16,2015,2015,Boys,731,50.3,0.1
E09000024,Merton,2015/16,2015,2015,Girls,709,54.6,0.45
E09000025,Newham,2015/16,2015,2015,All,3489,50.9,0.23
E09000025,Newham,2015/16,2015,2015,Boys,1780,48.9,0.1
E09000025,Newham,2015/16,2015,2015,Girls,1709,53.1,0.37
E09000026,Redbridge,2015/16,2015,2015,All,3363,53.9,0.28
E09000026,Redbridge,2015/16,2015,2015,Boys,1747,51.5,0.11
E09000026,Redbridge,2015/16,2015,2015,Girls,1616,56.5,0.47
E09000027,Richmond upon Thames,2015/16,2015,2015,All,1367,54.6,0.1
E09000027,Richmond upon Thames,2015/16,2015,2015,Boys,638,52.1,-0.07
E09000027,Richmond upon Thames,2015/16,2015,2015,Girls,729,56.8,0.24
E09000028,Southwark,2015/16,2015,2015,All,2386,52.9,0.22
E09000028,Southwark,2015/16,2015,2015,Boys,1141,51.3,0.15
E09000028,Southwark,2015/16,2015,2015,Girls,1245,54.5,0.3
E09000029,Sutton,2015/16,2015,2015,All,2667,58.7,0.17
E09000029,Sutton,2015/16,2015,2015,Boys,1370,57.1,0
E09000029,Sutton,2015/16,2015,2015,Girls,1297,60.3,0.34
E09000030,Tower Hamlets,2015/16,2015,2015,All,2570,50.2,0.15
E09000030,Tower Hamlets,2015/16,2015,2015,Boys,1294,48.7,0.04
E09000030,Tower Hamlets,2015/16,2015,2015,Girls,1276,51.7,0.26
E09000031,Waltham Forest,2015/16,2015,2015,All,2539,50.4,0.23
E09000031,Waltham Forest,2015/16,2015,2015,Boys,1259,48,0.06
E09000031,Waltham Forest,2015/16,2015,2015,Girls,1280,52.8,0.39
E09000032,Wandsworth,2015/16,2015,2015,All,1660,52.1,0.15
E09000032,Wandsworth,2015/16,2015,2015,Boys,872,50.7,0.05
E09000032,Wandsworth,2015/16,2015,2015,Girls,788,53.6,0.25
E09000033,Westminster,2015/16,2015,2015,All,1566,54.5,0.32
E09000033,Westminster,2015/16,2015,2015,Boys,763,51,0.09
E09000033,Westminster,2015/16,2015,2015,Girls,803,57.8,0.53
E09000002,Barking and Dagenham,2016/17,2016,2016,All,2185,46.7,0.23
E09000002,Barking and Dagenham,2016/17,2016,2016,Boys,1146,43.5,0.01
E09000002,Barking and Dagenham,2016/17,2016,2016,Girls,1039,50.1,0.47
E09000003,Barnet,2016/17,2016,2016,All,3528,54.7,0.47
E09000003,Barnet,2016/17,2016,2016,Boys,1811,52.3,0.25
E09000003,Barnet,2016/17,2016,2016,Girls,1717,57.2,0.7
E09000004,Bexley,2016/17,2016,2016,All,3141,49,-0.05
E09000004,Bexley,2016/17,2016,2016,Boys,1558,46.5,-0.23
E09000004,Bexley,2016/17,2016,2016,Girls,1583,51.5,0.12
E09000005,Brent,2016/17,2016,2016,All,2908,49,0.49
E09000005,Brent,2016/17,2016,2016,Boys,1444,46.8,0.32
E09000005,Brent,2016/17,2016,2016,Girls,1464,51.1,0.66
E09000006,Bromley,2016/17,2016,2016,All,3258,49.8,0.12
E09000006,Bromley,2016/17,2016,2016,Boys,1568,46.9,-0.12
E09000006,Bromley,2016/17,2016,2016,Girls,1690,52.5,0.34
E09000007,Camden,2016/17,2016,2016,All,1513,48.3,0.05
E09000007,Camden,2016/17,2016,2016,Boys,635,44.3,-0.24
E09000007,Camden,2016/17,2016,2016,Girls,878,51.2,0.26
E09000001,City of London,2016/17,2016,2016,All,.,.,.
E09000001,City of London,2016/17,2016,2016,Boys,.,.,.
E09000001,City of London,2016/17,2016,2016,Girls,.,.,.
E09000008,Croydon,2016/17,2016,2016,All,3579,45,0.06
E09000008,Croydon,2016/17,2016,2016,Boys,1716,41.3,-0.19
E09000008,Croydon,2016/17,2016,2016,Girls,1863,48.5,0.28
E09000009,Ealing,2016/17,2016,2016,All,2722,48.7,0.42
E09000009,Ealing,2016/17,2016,2016,Boys,1393,46.1,0.23
E09000009,Ealing,2016/17,2016,2016,Girls,1329,51.5,0.61
E09000010,Enfield,2016/17,2016,2016,All,3487,46.2,0.07
E09000010,Enfield,2016/17,2016,2016,Boys,1864,44.1,-0.14
E09000010,Enfield,2016/17,2016,2016,Girls,1623,48.6,0.31
E09000011,Greenwich,2016/17,2016,2016,All,2166,45.9,-0.05
E09000011,Greenwich,2016/17,2016,2016,Boys,1135,43.3,-0.26
E09000011,Greenwich,2016/17,2016,2016,Girls,1031,48.8,0.19
E09000012,Hackney,2016/17,2016,2016,All,2002,49.4,0.38
E09000012,Hackney,2016/17,2016,2016,Boys,917,46.2,0.17
E09000012,Hackney,2016/17,2016,2016,Girls,1085,52.1,0.56
E09000013,Hammersmith and Fulham,2016/17,2016,2016,All,1313,50.9,0.17
E09000013,Hammersmith and Fulham,2016/17,2016,2016,Boys,675,47.2,-0.03
E09000013,Hammersmith and Fulham,2016/17,2016,2016,Girls,638,54.8,0.39
E09000014,Haringey,2016/17,2016,2016,All,2127,46.5,0.29
E09000014,Haringey,2016/17,2016,2016,Boys,1110,44.6,0.12
E09000014,Haringey,2016/17,2016,2016,Girls,1017,48.6,0.48
E09000015,Harrow,2016/17,2016,2016,All,2049,49.7,0.47
E09000015,Harrow,2016/17,2016,2016,Boys,1029,46.8,0.22
E09000015,Harrow,2016/17,2016,2016,Girls,1020,52.6,0.72
E09000016,Havering,2016/17,2016,2016,All,2794,47.5,-0.04
E09000016,Havering,2016/17,2016,2016,Boys,1435,45.6,-0.16
E09000016,Havering,2016/17,2016,2016,Girls,1359,49.5,0.09
E09000017,Hillingdon,2016/17,2016,2016,All,3075,47.1,0.14
E09000017,Hillingdon,2016/17,2016,2016,Boys,1631,44.2,-0.09
E09000017,Hillingdon,2016/17,2016,2016,Girls,1444,50.4,0.4
E09000018,Hounslow,2016/17,2016,2016,All,2641,48,0.41
E09000018,Hounslow,2016/17,2016,2016,Boys,1392,45.6,0.25
E09000018,Hounslow,2016/17,2016,2016,Girls,1249,50.7,0.57
E09000019,Islington,2016/17,2016,2016,All,1377,45.6,0.13
E09000019,Islington,2016/17,2016,2016,Boys,715,43.8,-0.07
E09000019,Islington,2016/17,2016,2016,Girls,662,47.5,0.35
E09000020,Kensington and Chelsea,2016/17,2016,2016,All,739,55,0.45
E09000020,Kensington and Chelsea,2016/17,2016,2016,Boys,433,55.5,0.33
E09000020,Kensington and Chelsea,2016/17,2016,2016,Girls,306,54.2,0.62
E09000021,Kingston upon Thames,2016/17,2016,2016,All,1517,55.5,0.41
E09000021,Kingston upon Thames,2016/17,2016,2016,Boys,726,53.3,0.21
E09000021,Kingston upon Thames,2016/17,2016,2016,Girls,791,57.6,0.6
E09000022,Lambeth,2016/17,2016,2016,All,1949,44.3,-0.12
E09000022,Lambeth,2016/17,2016,2016,Boys,1016,40.9,-0.38
E09000022,Lambeth,2016/17,2016,2016,Girls,933,48,0.16
E09000023,Lewisham,2016/17,2016,2016,All,2247,44.2,-0.28
E09000023,Lewisham,2016/17,2016,2016,Boys,1165,41.5,-0.49
E09000023,Lewisham,2016/17,2016,2016,Girls,1082,47.2,-0.05
E09000024,Merton,2016/17,2016,2016,All,1420,50.2,0.5
E09000024,Merton,2016/17,2016,2016,Boys,725,47.5,0.3
E09000024,Merton,2016/17,2016,2016,Girls,695,53,0.7
E09000025,Newham,2016/17,2016,2016,All,3523,48.4,0.41
E09000025,Newham,2016/17,2016,2016,Boys,1753,46.1,0.26
E09000025,Newham,2016/17,2016,2016,Girls,1770,50.7,0.56
E09000026,Redbridge,2016/17,2016,2016,All,3458,51.2,0.42
E09000026,Redbridge,2016/17,2016,2016,Boys,1817,48.2,0.17
E09000026,Redbridge,2016/17,2016,2016,Girls,1641,54.4,0.69
E09000027,Richmond upon Thames,2016/17,2016,2016,All,1374,52.7,0.14
E09000027,Richmond upon Thames,2016/17,2016,2016,Boys,698,49.3,-0.1
E09000027,Richmond upon Thames,2016/17,2016,2016,Girls,676,56.2,0.39
E09000028,Southwark,2016/17,2016,2016,All,2328,50.5,0.31
E09000028,Southwark,2016/17,2016,2016,Boys,1109,49,0.24
E09000028,Southwark,2016/17,2016,2016,Girls,1219,51.8,0.37
E09000029,Sutton,2016/17,2016,2016,All,2759,56.2,0.24
E09000029,Sutton,2016/17,2016,2016,Boys,1418,54.6,0.06
E09000029,Sutton,2016/17,2016,2016,Girls,1341,57.8,0.43
E09000030,Tower Hamlets,2016/17,2016,2016,All,2623,47.2,0.25
E09000030,Tower Hamlets,2016/17,2016,2016,Boys,1303,44.1,-0.04
E09000030,Tower Hamlets,2016/17,2016,2016,Girls,1320,50.3,0.54
E09000031,Waltham Forest,2016/17,2016,2016,All,2486,45.5,0.14
E09000031,Waltham Forest,2016/17,2016,2016,Boys,1254,43,-0.09
E09000031,Waltham Forest,2016/17,2016,2016,Girls,1232,47.9,0.38
E09000032,Wandsworth,2016/17,2016,2016,All,1695,49.5,0.21
E09000032,Wandsworth,2016/17,2016,2016,Boys,925,48.2,0.12
E09000032,Wandsworth,2016/17,2016,2016,Girls,770,51.1,0.31
E09000033,Westminster,2016/17,2016,2016,All,1535,52.6,0.47
E09000033,Westminster,2016/17,2016,2016,Boys,727,47.7,0.16
E09000033,Westminster,2016/17,2016,2016,Girls,808,57,0.76
E09000002,Barking and Dagenham,2017/18,2017,2017,All,2199,46.1,0.17
E09000002,Barking and Dagenham,2017/18,2017,2017,Boys,1119,43.3,0
E09000002,Barking and Dagenham,2017/18,2017,2017,Girls,1080,49.1,0.34
E09000003,Barnet,2017/18,2017,2017,All,3810,56,0.57
E09000003,Barnet,2017/18,2017,2017,Boys,1978,53.1,0.33
E09000003,Barnet,2017/18,2017,2017,Girls,1832,59.1,0.83
E09000004,Bexley,2017/18,2017,2017,All,3032,49.6,-0.1
E09000004,Bexley,2017/18,2017,2017,Boys,1508,46.9,-0.33
E09000004,Bexley,2017/18,2017,2017,Girls,1524,52.3,0.12
E09000005,Brent,2017/18,2017,2017,All,2858,49.9,0.54
E09000005,Brent,2017/18,2017,2017,Boys,1480,47.7,0.34
E09000005,Brent,2017/18,2017,2017,Girls,1378,52.2,0.75
E09000006,Bromley,2017/18,2017,2017,All,3214,50.3,0.03
E09000006,Bromley,2017/18,2017,2017,Boys,1614,46.6,-0.24
E09000006,Bromley,2017/18,2017,2017,Girls,1600,53.9,0.31
E09000007,Camden,2017/18,2017,2017,All,1533,48,0.07
E09000007,Camden,2017/18,2017,2017,Boys,649,42,-0.37
E09000007,Camden,2017/18,2017,2017,Girls,884,52.4,0.39
E09000001,City of London,2017/18,2017,2017,All,.,.,.
E09000001,City of London,2017/18,2017,2017,Boys,.,.,.
E09000001,City of London,2017/18,2017,2017,Girls,.,.,.
E09000008,Croydon,2017/18,2017,2017,All,3452,45.8,0.07
E09000008,Croydon,2017/18,2017,2017,Boys,1669,42.4,-0.15
E09000008,Croydon,2017/18,2017,2017,Girls,1783,49,0.27
E09000009,Ealing,2017/18,2017,2017,All,2853,50,0.53
E09000009,Ealing,2017/18,2017,2017,Boys,1393,47.2,0.29
E09000009,Ealing,2017/18,2017,2017,Girls,1460,52.6,0.76
E09000010,Enfield,2017/18,2017,2017,All,3414,46.3,0.08
E09000010,Enfield,2017/18,2017,2017,Boys,1745,43.2,-0.21
E09000010,Enfield,2017/18,2017,2017,Girls,1669,49.5,0.39
E09000011,Greenwich,2017/18,2017,2017,All,2269,44.5,-0.18
E09000011,Greenwich,2017/18,2017,2017,Boys,1151,42,-0.34
E09000011,Greenwich,2017/18,2017,2017,Girls,1118,47.1,-0.02
E09000012,Hackney,2017/18,2017,2017,All,2058,49,0.31
E09000012,Hackney,2017/18,2017,2017,Boys,908,45.3,-0.02
E09000012,Hackney,2017/18,2017,2017,Girls,1150,51.9,0.57
E09000013,Hammersmith and Fulham,2017/18,2017,2017,All,1291,52.9,0.34
E09000013,Hammersmith and Fulham,2017/18,2017,2017,Boys,638,48.9,0.06
E09000013,Hammersmith and Fulham,2017/18,2017,2017,Girls,653,56.7,0.62
E09000014,Haringey,2017/18,2017,2017,All,2190,46.3,0.16
E09000014,Haringey,2017/18,2017,2017,Boys,1094,43.5,-0.07
E09000014,Haringey,2017/18,2017,2017,Girls,1096,49.1,0.39
E09000015,Harrow,2017/18,2017,2017,All,2044,50.7,0.45
E09000015,Harrow,2017/18,2017,2017,Boys,996,47.7,0.22
E09000015,Harrow,2017/18,2017,2017,Girls,1048,53.4,0.67
E09000016,Havering,2017/18,2017,2017,All,2774,46.9,-0.09
E09000016,Havering,2017/18,2017,2017,Boys,1440,45,-0.23
E09000016,Havering,2017/18,2017,2017,Girls,1334,48.9,0.07
E09000017,Hillingdon,2017/18,2017,2017,All,3064,47.8,0.15
E09000017,Hillingdon,2017/18,2017,2017,Boys,1572,45.3,-0.08
E09000017,Hillingdon,2017/18,2017,2017,Girls,1492,50.5,0.38
E09000018,Hounslow,2017/18,2017,2017,All,2666,49.4,0.43
E09000018,Hounslow,2017/18,2017,2017,Boys,1369,46.5,0.21
E09000018,Hounslow,2017/18,2017,2017,Girls,1297,52.4,0.65
E09000019,Islington,2017/18,2017,2017,All,1404,46.3,0.15
E09000019,Islington,2017/18,2017,2017,Boys,746,44.9,0.05
E09000019,Islington,2017/18,2017,2017,Girls,658,47.9,0.26
E09000020,Kensington and Chelsea,2017/18,2017,2017,All,718,51.6,0.11
E09000020,Kensington and Chelsea,2017/18,2017,2017,Boys,405,52.3,0.09
E09000020,Kensington and Chelsea,2017/18,2017,2017,Girls,313,50.6,0.13
E09000021,Kingston upon Thames,2017/18,2017,2017,All,1515,57.8,0.53
E09000021,Kingston upon Thames,2017/18,2017,2017,Boys,720,54.7,0.33
E09000021,Kingston upon Thames,2017/18,2017,2017,Girls,795,60.5,0.71
E09000022,Lambeth,2017/18,2017,2017,All,2114,44.6,-0.05
E09000022,Lambeth,2017/18,2017,2017,Boys,1073,41.9,-0.34
E09000022,Lambeth,2017/18,2017,2017,Girls,1041,47.4,0.24
E09000023,Lewisham,2017/18,2017,2017,All,2104,44.9,-0.22
E09000023,Lewisham,2017/18,2017,2017,Boys,1046,41.8,-0.45
E09000023,Lewisham,2017/18,2017,2017,Girls,1058,47.9,0.02
E09000024,Merton,2017/18,2017,2017,All,1404,49.7,0.44
E09000024,Merton,2017/18,2017,2017,Boys,721,47.4,0.24
E09000024,Merton,2017/18,2017,2017,Girls,683,52.2,0.65
E09000025,Newham,2017/18,2017,2017,All,3745,48.7,0.32
E09000025,Newham,2017/18,2017,2017,Boys,1869,46,0.08
E09000025,Newham,2017/18,2017,2017,Girls,1876,51.4,0.55
E09000026,Redbridge,2017/18,2017,2017,All,3508,53.1,0.47
E09000026,Redbridge,2017/18,2017,2017,Boys,1839,50.6,0.25
E09000026,Redbridge,2017/18,2017,2017,Girls,1669,55.7,0.72
E09000027,Richmond upon Thames,2017/18,2017,2017,All,1479,51.7,0.14
E09000027,Richmond upon Thames,2017/18,2017,2017,Boys,729,49.9,-0.04
E09000027,Richmond upon Thames,2017/18,2017,2017,Girls,750,53.4,0.32
E09000028,Southwark,2017/18,2017,2017,All,2386,50.2,0.3
E09000028,Southwark,2017/18,2017,2017,Boys,1178,48.3,0.11
E09000028,Southwark,2017/18,2017,2017,Girls,1208,52,0.49
E09000029,Sutton,2017/18,2017,2017,All,2719,58.1,0.39
E09000029,Sutton,2017/18,2017,2017,Boys,1392,57.3,0.25
E09000029,Sutton,2017/18,2017,2017,Girls,1327,59,0.53
E09000030,Tower Hamlets,2017/18,2017,2017,All,2721,46.8,0.15
E09000030,Tower Hamlets,2017/18,2017,2017,Boys,1330,43.6,-0.12
E09000030,Tower Hamlets,2017/18,2017,2017,Girls,1391,49.8,0.39
E09000031,Waltham Forest,2017/18,2017,2017,All,2484,46.1,0.21
E09000031,Waltham Forest,2017/18,2017,2017,Boys,1218,42.9,-0.05
E09000031,Waltham Forest,2017/18,2017,2017,Girls,1266,49.1,0.45
E09000032,Wandsworth,2017/18,2017,2017,All,1707,50.8,0.3
